# 256^2 radial Temperature Profile at t = 0.59*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.4915392398834229
2	 0.0039063000	1.4915392398834229
3	 0.0078125000	1.491542100906372
4	 0.0117190000	1.4915547370910645
5	 0.0156250000	1.4915906190872192
6	 0.0195310000	1.4916691780090332
7	 0.0234380000	1.491816520690918
8	 0.0273440000	1.4920649528503418
9	 0.0312500000	1.4924532175064087
10	 0.0351560000	1.4930262565612793
11	 0.0390630000	1.493835210800171
12	 0.0429690000	1.4949373006820679
13	 0.0468750000	1.496395468711853
14	 0.0507810000	1.4982779026031494
15	 0.0546880000	1.5006577968597412
16	 0.0585940000	1.5036125183105469
17	 0.0625000000	1.50722336769104
18	 0.0664060000	1.511573314666748
19	 0.0703130000	1.5167468786239624
20	 0.0742190000	1.5228277444839478
21	 0.0781250000	1.52989661693573
22	 0.0820310000	1.5380287170410156
23	 0.0859380000	1.547290563583374
24	 0.0898440000	1.557735800743103
25	 0.0937500000	1.5694013833999634
26	 0.0976560000	1.5823020935058594
27	 0.1015600000	1.5964267253875732
28	 0.1054700000	1.6117324829101562
29	 0.1093800000	1.6281418800354004
30	 0.1132800000	1.6455402374267578
31	 0.1171900000	1.6637765169143677
32	 0.1210900000	1.6826648712158203
33	 0.1250000000	1.7019915580749512
34	 0.1289100000	1.7215224504470825
35	 0.1328100000	1.7410141229629517
36	 0.1367200000	1.7602249383926392
37	 0.1406300000	1.7789260149002075
38	 0.1445300000	1.796911597251892
39	 0.1484400000	1.814005732536316
40	 0.1523400000	1.8300670385360718
41	 0.1562500000	1.8449912071228027
42	 0.1601600000	1.858709454536438
43	 0.1640600000	1.8711872100830078
44	 0.1679700000	1.8824193477630615
45	 0.1718800000	1.8924264907836914
46	 0.1757800000	1.9012503623962402
47	 0.1796900000	1.9089488983154297
48	 0.1835900000	1.9155927896499634
49	 0.1875000000	1.9212610721588135
50	 0.1914100000	1.926038384437561
51	 0.1953100000	1.9300121068954468
52	 0.1992200000	1.93326997756958
53	 0.2031300000	1.9358981847763062
54	 0.2070300000	1.937979817390442
55	 0.2109400000	1.93959379196167
56	 0.2148400000	1.9408141374588013
57	 0.2187500000	1.9417095184326172
58	 0.2226600000	1.9423432350158691
59	 0.2265600000	1.942772388458252
60	 0.2304700000	1.9430482387542725
61	 0.2343800000	1.9432154893875122
62	 0.2382800000	1.9433116912841797
63	 0.2421900000	1.9433680772781372
64	 0.2460900000	1.9434199333190918
65	 0.2500000000	1.9434236288070679
66	 0.2539100000	1.9434199333190918
67	 0.2578100000	1.943403720855713
68	 0.2617200000	1.9433625936508179
69	 0.2656300000	1.9432787895202637
70	 0.2695300000	1.943128228187561
71	 0.2734400000	1.9428802728652954
72	 0.2773400000	1.9424971342086792
73	 0.2812500000	1.94193434715271
74	 0.2851600000	1.94114089012146
75	 0.2890600000	1.9400599002838135
76	 0.2929700000	1.9386296272277832
77	 0.2968800000	1.9367835521697998
78	 0.3007800000	1.934451699256897
79	 0.3046900000	1.9315617084503174
80	 0.3085900000	1.928039312362671
81	 0.3125000000	1.9238096475601196
82	 0.3164100000	1.918798804283142
83	 0.3203100000	1.9129347801208496
84	 0.3242200000	1.90614914894104
85	 0.3281300000	1.898378610610962
86	 0.3320300000	1.8895665407180786
87	 0.3359400000	1.8796645402908325
88	 0.3398400000	1.8686339855194092
89	 0.3437500000	1.8564472198486328
90	 0.3476600000	1.8430895805358887
91	 0.3515600000	1.8285598754882812
92	 0.3554700000	1.8128728866577148
93	 0.3593800000	1.7960599660873413
94	 0.3632800000	1.7781708240509033
95	 0.3671900000	1.759274959564209
96	 0.3710900000	1.739462971687317
97	 0.3750000000	1.718847393989563
98	 0.3789100000	1.6975630521774292
99	 0.3828100000	1.6757667064666748
100	 0.3867200000	1.6536352634429932
101	 0.3906300000	1.6313625574111938
102	 0.3945300000	1.6091549396514893
103	 0.3984400000	1.5872251987457275
104	 0.4023400000	1.5657850503921509
105	 0.4062500000	1.545038104057312
106	 0.4101600000	1.5251713991165161
107	 0.4140600000	1.5063490867614746
108	 0.4179700000	1.4887067079544067
109	 0.4218800000	1.4723478555679321
110	 0.4257800000	1.4573423862457275
111	 0.4296900000	1.4437274932861328
112	 0.4335900000	1.431509256362915
113	 0.4375000000	1.4206664562225342
114	 0.4414100000	1.4111539125442505
115	 0.4453100000	1.4029064178466797
116	 0.4492200000	1.3958427906036377
117	 0.4531300000	1.3898688554763794
118	 0.4570300000	1.3848811388015747
119	 0.4609400000	1.3807709217071533
120	 0.4648400000	1.3774276971817017
121	 0.4687500000	1.3747447729110718
122	 0.4726600000	1.372623324394226
123	 0.4765600000	1.3709769248962402
124	 0.4804700000	1.3697335720062256
125	 0.4843800000	1.3688364028930664
126	 0.4882800000	1.3682409524917603
127	 0.4921900000	1.3679128885269165
128	 0.4960900000	1.3677669763565063
129	 0.5000000000	1.3676799535751343
