# 512^2 radial Temperature Profile at t = 2.03*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.481591820716858
2	 0.0019531000	1.481591820716858
3	 0.0039063000	1.481592059135437
4	 0.0058594000	1.4815928936004639
5	 0.0078125000	1.4815952777862549
6	 0.0097656000	1.4816005229949951
7	 0.0117190000	1.4816104173660278
8	 0.0136720000	1.481627106666565
9	 0.0156250000	1.4816532135009766
10	 0.0175780000	1.481691837310791
11	 0.0195310000	1.4817463159561157
12	 0.0214840000	1.4818205833435059
13	 0.0234380000	1.4819190502166748
14	 0.0253910000	1.482046365737915
15	 0.0273440000	1.4822078943252563
16	 0.0292970000	1.4824090003967285
17	 0.0312500000	1.4826560020446777
18	 0.0332030000	1.4829550981521606
19	 0.0351560000	1.4833132028579712
20	 0.0371090000	1.483737587928772
21	 0.0390630000	1.4842358827590942
22	 0.0410160000	1.484816074371338
23	 0.0429690000	1.4854865074157715
24	 0.0449220000	1.4862560033798218
25	 0.0468750000	1.4871336221694946
26	 0.0488280000	1.4881285429000854
27	 0.0507810000	1.489250659942627
28	 0.0527340000	1.4905098676681519
29	 0.0546880000	1.4919161796569824
30	 0.0566410000	1.4934802055358887
31	 0.0585940000	1.495212197303772
32	 0.0605470000	1.4971230030059814
33	 0.0625000000	1.4992233514785767
34	 0.0644530000	1.5015238523483276
35	 0.0664060000	1.504035472869873
36	 0.0683590000	1.5067685842514038
37	 0.0703130000	1.5097339153289795
38	 0.0722660000	1.5129417181015015
39	 0.0742190000	1.5164016485214233
40	 0.0761720000	1.5201234817504883
41	 0.0781250000	1.5241162776947021
42	 0.0800780000	1.528388261795044
43	 0.0820310000	1.532947301864624
44	 0.0839840000	1.5378001928329468
45	 0.0859380000	1.5429530143737793
46	 0.0878910000	1.548410415649414
47	 0.0898440000	1.5541760921478271
48	 0.0917970000	1.5602524280548096
49	 0.0937500000	1.5666402578353882
50	 0.0957030000	1.5733386278152466
51	 0.0976560000	1.5803450345993042
52	 0.0996090000	1.5876551866531372
53	 0.1015600000	1.5952627658843994
54	 0.1035200000	1.6031590700149536
55	 0.1054700000	1.6113338470458984
56	 0.1074200000	1.619774341583252
57	 0.1093800000	1.6284655332565308
58	 0.1113300000	1.6373904943466187
59	 0.1132800000	1.646530032157898
60	 0.1152300000	1.655862808227539
61	 0.1171900000	1.6653659343719482
62	 0.1191400000	1.6750144958496094
63	 0.1210900000	1.6847820281982422
64	 0.1230500000	1.69464111328125
65	 0.1250000000	1.7045629024505615
66	 0.1269500000	1.7145181894302368
67	 0.1289100000	1.7244771718978882
68	 0.1308600000	1.7344099283218384
69	 0.1328100000	1.7442867755889893
70	 0.1347700000	1.7540788650512695
71	 0.1367200000	1.7637579441070557
72	 0.1386700000	1.77329683303833
73	 0.1406300000	1.782670021057129
74	 0.1425800000	1.7918535470962524
75	 0.1445300000	1.8008251190185547
76	 0.1464800000	1.8095645904541016
77	 0.1484400000	1.8180538415908813
78	 0.1503900000	1.8262768983840942
79	 0.1523400000	1.834220051765442
80	 0.1543000000	1.841871738433838
81	 0.1562500000	1.8492225408554077
82	 0.1582000000	1.8562653064727783
83	 0.1601600000	1.8629947900772095
84	 0.1621100000	1.8694078922271729
85	 0.1640600000	1.8755033016204834
86	 0.1660200000	1.8812811374664307
87	 0.1679700000	1.8867435455322266
88	 0.1699200000	1.8918938636779785
89	 0.1718800000	1.8967368602752686
90	 0.1738300000	1.9012786149978638
91	 0.1757800000	1.9055259227752686
92	 0.1777300000	1.909487009048462
93	 0.1796900000	1.913170337677002
94	 0.1816400000	1.9165854454040527
95	 0.1835900000	1.9197423458099365
96	 0.1855500000	1.9226515293121338
97	 0.1875000000	1.925323724746704
98	 0.1894500000	1.9277701377868652
99	 0.1914100000	1.9300020933151245
100	 0.1933600000	1.9320309162139893
101	 0.1953100000	1.9338680505752563
102	 0.1972700000	1.935524821281433
103	 0.1992200000	1.937012791633606
104	 0.2011700000	1.9383429288864136
105	 0.2031300000	1.9395264387130737
106	 0.2050800000	1.9405739307403564
107	 0.2070300000	1.9414958953857422
108	 0.2089800000	1.9423025846481323
109	 0.2109400000	1.94300377368927
110	 0.2128900000	1.9436089992523193
111	 0.2148400000	1.9441274404525757
112	 0.2168000000	1.9445674419403076
113	 0.2187500000	1.9449375867843628
114	 0.2207000000	1.945245385169983
115	 0.2226600000	1.9454983472824097
116	 0.2246100000	1.945703387260437
117	 0.2265600000	1.9458669424057007
118	 0.2285200000	1.9459950923919678
119	 0.2304700000	1.9460933208465576
120	 0.2324200000	1.9461668729782104
121	 0.2343800000	1.9462203979492188
122	 0.2363300000	1.9462581872940063
123	 0.2382800000	1.9462838172912598
124	 0.2402300000	1.9463006258010864
125	 0.2421900000	1.9463114738464355
126	 0.2441400000	1.9463187456130981
127	 0.2460900000	1.9463239908218384
128	 0.2480500000	1.946329116821289
129	 0.2500000000	1.94632887840271
130	 0.2519500000	1.946328043937683
131	 0.2539100000	1.9463257789611816
132	 0.2558600000	1.9463210105895996
133	 0.2578100000	1.9463123083114624
134	 0.2597700000	1.9462978839874268
135	 0.2617200000	1.9462753534317017
136	 0.2636700000	1.946242094039917
137	 0.2656300000	1.9461947679519653
138	 0.2675800000	1.9461296796798706
139	 0.2695300000	1.9460426568984985
140	 0.2714800000	1.9459291696548462
141	 0.2734400000	1.9457839727401733
142	 0.2753900000	1.9456017017364502
143	 0.2773400000	1.9453762769699097
144	 0.2793000000	1.945101261138916
145	 0.2812500000	1.944770097732544
146	 0.2832000000	1.94437575340271
147	 0.2851600000	1.9439104795455933
148	 0.2871100000	1.9433666467666626
149	 0.2890600000	1.942736268043518
150	 0.2910200000	1.942010760307312
151	 0.2929700000	1.9411815404891968
152	 0.2949200000	1.940239667892456
153	 0.2968800000	1.9391759634017944
154	 0.2988300000	1.9379810094833374
155	 0.3007800000	1.9366453886032104
156	 0.3027300000	1.9351595640182495
157	 0.3046900000	1.9335135221481323
158	 0.3066400000	1.9316978454589844
159	 0.3085900000	1.9297025203704834
160	 0.3105500000	1.9275178909301758
161	 0.3125000000	1.9251344203948975
162	 0.3144500000	1.922542691230774
163	 0.3164100000	1.9197332859039307
164	 0.3183600000	1.916697382926941
165	 0.3203100000	1.913426160812378
166	 0.3222700000	1.9099113941192627
167	 0.3242200000	1.9061449766159058
168	 0.3261700000	1.9021193981170654
169	 0.3281300000	1.8978277444839478
170	 0.3300800000	1.893263578414917
171	 0.3320300000	1.8884209394454956
172	 0.3339800000	1.8832944631576538
173	 0.3359400000	1.8778795003890991
174	 0.3378900000	1.872172236442566
175	 0.3398400000	1.8661695718765259
176	 0.3418000000	1.8598687648773193
177	 0.3437500000	1.8532685041427612
178	 0.3457000000	1.8463678359985352
179	 0.3476600000	1.8391668796539307
