# 512^2 radial Temperature Profile at t = 2.03*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.2531973123550415
2	 0.0019531000	1.2531973123550415
3	 0.0039063000	1.2580020427703857
4	 0.0058594000	1.2633919715881348
5	 0.0078125000	1.2689518928527832
6	 0.0097656000	1.2746193408966064
7	 0.0117190000	1.2803757190704346
8	 0.0136720000	1.2862138748168945
9	 0.0156250000	1.2921298742294312
10	 0.0175780000	1.298121452331543
11	 0.0195310000	1.3041871786117554
12	 0.0214840000	1.3103256225585938
13	 0.0234380000	1.3165357112884521
14	 0.0253910000	1.3228164911270142
15	 0.0273440000	1.3291670083999634
16	 0.0292970000	1.3355863094329834
17	 0.0312500000	1.3420734405517578
18	 0.0332030000	1.3486273288726807
19	 0.0351560000	1.3552470207214355
20	 0.0371090000	1.361931324005127
21	 0.0390630000	1.3686792850494385
22	 0.0410160000	1.3754897117614746
23	 0.0429690000	1.3823611736297607
24	 0.0449220000	1.3892927169799805
25	 0.0468750000	1.3962829113006592
26	 0.0488280000	1.4033304452896118
27	 0.0507810000	1.4104337692260742
28	 0.0527340000	1.4175915718078613
29	 0.0546880000	1.424802303314209
30	 0.0566410000	1.432064414024353
31	 0.0585940000	1.4393762350082397
32	 0.0605470000	1.446736216545105
33	 0.0625000000	1.454142451286316
34	 0.0644530000	1.4615933895111084
35	 0.0664060000	1.46908700466156
36	 0.0683590000	1.4766216278076172
37	 0.0703130000	1.4841952323913574
38	 0.0722660000	1.4918057918548584
39	 0.0742190000	1.4994513988494873
40	 0.0761720000	1.5071299076080322
41	 0.0781250000	1.5148392915725708
42	 0.0800780000	1.522577166557312
43	 0.0820310000	1.5303415060043335
44	 0.0839840000	1.5381300449371338
45	 0.0859380000	1.5459405183792114
46	 0.0878910000	1.5537703037261963
47	 0.0898440000	1.561617374420166
48	 0.0917970000	1.569478988647461
49	 0.0937500000	1.5773528814315796
50	 0.0957030000	1.5852363109588623
51	 0.0976560000	1.5931270122528076
52	 0.0996090000	1.6010221242904663
53	 0.1015600000	1.6089190244674683
54	 0.1035200000	1.616815209388733
55	 0.1054700000	1.6247079372406006
56	 0.1074200000	1.632594347000122
57	 0.1093800000	1.6404718160629272
58	 0.1113300000	1.648337483406067
59	 0.1132800000	1.6561883687973022
60	 0.1152300000	1.6640218496322632
61	 0.1171900000	1.671834945678711
62	 0.1191400000	1.6796247959136963
63	 0.1210900000	1.687388300895691
64	 0.1230500000	1.6951227188110352
65	 0.1250000000	1.7028250694274902
66	 0.1269500000	1.7104922533035278
67	 0.1289100000	1.7181214094161987
68	 0.1308600000	1.725709319114685
69	 0.1328100000	1.7332531213760376
70	 0.1347700000	1.7407498359680176
71	 0.1367200000	1.7481963634490967
72	 0.1386700000	1.755589485168457
73	 0.1406300000	1.762926459312439
74	 0.1425800000	1.7702040672302246
75	 0.1445300000	1.7774192094802856
76	 0.1464800000	1.7845690250396729
77	 0.1484400000	1.7916502952575684
78	 0.1503900000	1.798660159111023
79	 0.1523400000	1.8055955171585083
80	 0.1543000000	1.812453269958496
81	 0.1562500000	1.819230556488037
82	 0.1582000000	1.825924277305603
83	 0.1601600000	1.8325315713882446
84	 0.1621100000	1.8390494585037231
85	 0.1640600000	1.8454750776290894
86	 0.1660200000	1.8518054485321045
87	 0.1679700000	1.8580377101898193
88	 0.1699200000	1.8641691207885742
89	 0.1718800000	1.87019681930542
90	 0.1738300000	1.8761179447174072
91	 0.1757800000	1.881929874420166
92	 0.1777300000	1.887629747390747
93	 0.1796900000	1.8932151794433594
94	 0.1816400000	1.8986833095550537
95	 0.1835900000	1.9040316343307495
96	 0.1855500000	1.9092576503753662
97	 0.1875000000	1.9143588542938232
98	 0.1894500000	1.91933274269104
99	 0.1914100000	1.9241770505905151
100	 0.1933600000	1.9288893938064575
101	 0.1953100000	1.9334673881530762
102	 0.1972700000	1.9379090070724487
103	 0.1992200000	1.9422119855880737
104	 0.2011700000	1.9463742971420288
105	 0.2031300000	1.950393795967102
106	 0.2050800000	1.9542686939239502
107	 0.2070300000	1.9579968452453613
108	 0.2089800000	1.9615764617919922
109	 0.2109400000	1.9650059938430786
110	 0.2128900000	1.9682835340499878
111	 0.2148400000	1.971407413482666
112	 0.2168000000	1.9743762016296387
113	 0.2187500000	1.9771884679794312
114	 0.2207000000	1.9798426628112793
115	 0.2226600000	1.982337474822998
116	 0.2246100000	1.984671711921692
117	 0.2265600000	1.9868440628051758
118	 0.2285200000	1.9888536930084229
119	 0.2304700000	1.9906994104385376
120	 0.2324200000	1.9923802614212036
121	 0.2343800000	1.9938955307006836
