# 64^2 radial Temperature Profile at t = 0.04*tcond	  	  
#[1] Cell Coordinate	[2] Radial Coordinate	[3] T
1	 0.0000000000	1.2811576128005981
2	 0.0156250000	1.2811576128005981
3	 0.0312500000	1.323696494102478
4	 0.0468750000	1.3747371435165405
5	 0.0625000000	1.4304612874984741
6	 0.0781250000	1.489656686782837
7	 0.0937500000	1.551252007484436
8	 0.1093800000	1.6140614748001099
9	 0.1250000000	1.6767539978027344
10	 0.1406300000	1.7378747463226318
11	 0.1562500000	1.7958898544311523
12	 0.1718800000	1.8492450714111328
13	 0.1875000000	1.8964314460754395
14	 0.2031300000	1.9360545873641968
15	 0.2187500000	1.9669023752212524
16	 0.2343800000	1.9880053997039795
17	 0.2500000000	1.9986878633499146
18	 0.2656300000	1.9986032247543335
19	 0.2812500000	1.987752079963684
20	 0.2968800000	1.9664826393127441
21	 0.3125000000	1.9354718923568726
22	 0.3281300000	1.8956897258758545
23	 0.3437500000	1.8483483791351318
24	 0.3593800000	1.7948412895202637
25	 0.3750000000	1.7366747856140137
26	 0.3906300000	1.675398826599121
27	 0.4062500000	1.6125388145446777
28	 0.4218800000	1.5495353937149048
29	 0.4375000000	1.4876928329467773
30	 0.4531300000	1.4281398057937622
31	 0.4687500000	1.3718032836914062
32	 0.4843800000	1.3193957805633545
33	 0.5000000000	1.2714147567749023
